Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Release and Metrics,Trailer [SO2],"one complete flow shown end to end from a realistic entry point, within 3 minutes, captioned, partial features named as partial",true,Exceeds Expectations,"Within 3 minutes and captioned. Shows one complete flow end to end from a realistic entry point, narrated, with partial features named as partial.",20,Meets Expectations,"The trailer runs but overruns 3 minutes, shows a partial or stitched flow, leans on slides where the software could be shown, or lacks captions.",16,Does Not Meet Expectations,"No trailer, the software is never shown running, or footage misrepresents what exists.",4
Release and Metrics,Problem and scope [SO3],"concrete, audience-appropriate, with the cost to the user and what was deliberately left out",true,Exceeds Expectations,"The problem is concrete, stated in the audience's terms with the cost to the user, and the report says what the team deliberately left out.",15,Meets Expectations,"The problem is understandable but generic, inward-facing, or silent on scope exclusions.",12,Does Not Meet Expectations,A reader cannot tell what problem the project addresses or for whom.,3
Release and Metrics,Metrics evidence [SO2],"metrics match docs/shipped.md, at least one reported with a real measured value and embedded instrumentation evidence",true,Exceeds Expectations,"Metrics match docs/shipped.md. At least one is reported with a real measured value and embedded instrumentation evidence (analytics screenshot, benchmark output, counts, task results).",30,Meets Expectations,"Metrics are reported but one is unmeasured, drifts from docs/shipped.md, or is asserted without visible instrumentation evidence.",24,Does Not Meet Expectations,"No measured value, metrics unrelated to the Definition of Shipped, or numbers with no evidence behind them.",6
Release and Metrics,Accurate outcomes [SO6],"delivered versus the Definition of Shipped with concrete numbers, lessons, and a prioritized next step",true,Exceeds Expectations,"Delivered versus the Definition of Shipped stated with concrete numbers against the target rung, including the gap, plus lessons and a prioritized next step. Falling short of the bar and saying exactly how far you got scores well here.",25,Meets Expectations,"The comparison is present but vague, avoids naming the gap, or the next step is generic.",20,Does Not Meet Expectations,"No comparison against the Definition of Shipped, or an account that overstates what was achieved.",5
Release and Metrics,Report quality [SO3],"within 2 pages, structured, every link tested and working",true,Exceeds Expectations,"Within 2 pages, structured, cover carries project and team, and every link was tested and works.",10,Meets Expectations,"Readable but over length, loosely structured, or with a link that does not resolve.",8,Does Not Meet Expectations,"Hard to follow, or links graders cannot open.",2
