Working software evidence		true	20	Pass	A URL, tagged release, or demo video is provided (link the CI run when one exists); or the note says plainly that nothing works yet and why. Where the video substitutes for a live demo slot, it is timestamped with one segment per student.	0	Fail	Item missing: no evidence and no plain statement of why nothing works yet.
What got done		true	20	Pass	Links to the board and lists what the team finished, each item concrete and consequential. Non-code work counts. Activity without a result ("worked on the API", "researched options") does not.	0	Fail	Item missing: no board link, or the list describes how time was spent rather than what now exists.
Top risk and one decision needed		true	20	Pass	Names the single biggest threat to shipping (the Definition of Shipped once it exists; the term gate in fall) and one concrete decision the team needs from the partner, the staff, or itself.	0	Fail	Item missing: no top risk, or no concrete decision needed.
Contribution lines		true	20	Pass	One line per student with all three parts: PR(s) owned (titles or IDs; NDA teams list IDs only), whose work they reviewed and the specific change they asked for, and a human-written sentence on the most consequential thing they shipped and how the team knows it works. A missed PR norm is explained on that student's line.	0	Fail	Item missing: contribution lines absent or incomplete (students unaccounted for).
Judgment layer		true	20	Pass	About five human-written lines on what the team learned this sprint and what it changes about the plan; any genuine, sprint-specific content passes.	0	Fail	Item missing: judgment layer absent, or the same text reused across sprints.
