Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Sprint Notes,Working software evidence,,true,Pass,"A URL, tagged release, or demo video is provided (link the CI run when one exists); or the note says plainly that nothing works yet and why. Where a video replaces the live demo (a missed check-in, or a TA who could not meet), it is on media.oregonstate.edu, unlisted, captioned, with one timestamp per student.",20,Fail,Item missing: no evidence and no plain statement of why nothing works yet.,0
Sprint Notes,What got done,,true,Pass,"Links to the board and lists what the team finished, each item concrete and consequential. Non-code work counts. Activity without a result (""worked on the API"", ""researched options"") does not.",20,Fail,"Item missing: no board link, or the list describes how time was spent rather than what now exists.",0
Sprint Notes,Top risk and one decision needed,,true,Pass,"Names the single biggest threat to shipping (the Definition of Shipped once it exists; the term gate in fall) and one concrete decision the team needs from the partner, the staff, or itself.",20,Fail,"Item missing: no top risk, or no concrete decision needed.",0
Sprint Notes,Contribution lines,,true,Pass,"One line per student with all three parts: PR(s) owned (titles or IDs; NDA teams list IDs only), whose work they reviewed and the specific change they asked for, and a human-written sentence on the most consequential thing they shipped and how the team knows it works. A missed PR norm is explained on that student's line. The owned PR is a real change that landed this sprint; graders open one per student.",20,Fail,"Item missing: contribution lines absent or incomplete (students unaccounted for, or an owned PR that does not open, did not land this sprint, or is mechanical, with no explanation on the line).",0
Sprint Notes,Judgment layer,,true,Pass,"About five human-written lines on what the team learned this sprint and what it changes about the plan; any genuine, sprint-specific content passes.",20,Fail,"Item missing: judgment layer absent, or the same text reused across sprints.",0
