Target rung: explicit, project-specific, candid [SO2]	explicit, project-specific, and candid about ambition	true	25	Exceeds Expectations	Names the committed outcome level on the outcome ladder in the team's own words, specific to this project, and is candid about the ambition involved.	20	Meets Expectations	A target rung is stated but is generic, copied from the ladder without project-specific interpretation, or hedged.	5	Does Not Meet Expectations	No explicit target rung, or the stated target does not correspond to the ladder.
Metrics: measurable, with an instrumentation plan [SO2]	measurable, with a concrete instrumentation plan for at least one	true	25	Exceeds Expectations	2 or 3 measurable signals of "it worked" (e.g., users completing a task, benchmark result, uptime, merged PRs), with a concrete plan for how at least one will be instrumented for real before the final release.	20	Meets Expectations	Metrics are listed but some are not measurable as stated, or the instrumentation plan is vague or missing for all of them.	5	Does Not Meet Expectations	No meaningful success metrics.
Prerequisites and lead times: complete, owned, dated [SO1]	complete, owned, and dated (nothing discoverable in week 8 of spring should be missing)	true	25	Exceeds Expectations	Everything the target rung requires that the team does not control (accounts, reviews, approvals, recruitment) is listed, each with an owner and a start-by date; nothing discoverable in week 8 of spring is missing.	20	Meets Expectations	Prerequisites are listed but coverage is incomplete, or owners and start-by dates are missing for some items.	5	Does Not Meet Expectations	Prerequisites and lead times are missing, or ignore the lead-time bombs the Shipping guide names for a project like this one.
Partner agreement evidenced [SO3]		true	15	Exceeds Expectations	Evidence that the partner has seen and agreed to this definition (meeting note, email, or survey confirmation) is included and verifiable.	12	Meets Expectations	Partner agreement is claimed but the evidence is indirect or informal.	3	Does Not Meet Expectations	No evidence of partner agreement.
Writing: brief, unambiguous, usable as a checklist [SO3]	brief, unambiguous, usable as a checklist	true	10	Exceeds Expectations	1 to 2 pages in docs/shipped.md; brief, unambiguous, and usable as a checklist the team and partner can track against.	8	Meets Expectations	Mostly clear but wordy, ambiguous in places, or not structured for tracking.	2	Does Not Meet Expectations	Hard to use as an agreement or checklist.
