Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Definition of Shipped,"Target rung: explicit, project-specific, realistic [SO2]","explicit, project-specific, and realistic about ambition",true,Exceeds Expectations,"Names the committed outcome level on the outcome ladder in the team's own words, specific to this project, and is realistic about the ambition involved.",25,Meets Expectations,"A target rung is stated but is generic, copied from the ladder without project-specific interpretation, or hedged.",20,Does Not Meet Expectations,"No explicit target rung, or the stated target does not correspond to the ladder.",5
Definition of Shipped,"Metrics: measurable, with an instrumentation plan [SO2]","measurable, with a concrete instrumentation plan for at least one",true,Exceeds Expectations,"2 or 3 measurable signals of ""it worked"" (e.g., users completing a task, benchmark result, uptime, merged PRs), with a concrete plan for how at least one will be instrumented for real before the final release.",25,Meets Expectations,"Metrics are listed but some are not measurable as stated, or the instrumentation plan is vague or missing for all of them.",20,Does Not Meet Expectations,No meaningful success metrics.,5
Definition of Shipped,"Prerequisites and lead times: complete, owned, dated [SO1]","complete, owned, and dated (nothing discoverable in week 8 of spring should be missing)",true,Exceeds Expectations,"Everything the target rung requires that the team does not control (accounts, reviews, approvals, recruitment) is listed, each with an owner and a start-by date; nothing discoverable in week 8 of spring is missing.",25,Meets Expectations,"Prerequisites are listed but coverage is incomplete, or owners and start-by dates are missing for some items.",20,Does Not Meet Expectations,"Prerequisites and lead times are missing, or ignore the lead-time bombs the Shipping guide names for a project like this one.",5
Definition of Shipped,Partner agreement evidenced [SO3],,true,Exceeds Expectations,"Evidence that the partner has seen and agreed to this definition (meeting note, email, or survey confirmation) is included and verifiable.",15,Meets Expectations,Partner agreement is claimed but the evidence is indirect or informal.,12,Does Not Meet Expectations,No evidence of partner agreement.,3
Definition of Shipped,"Writing: brief, unambiguous, usable as a checklist [SO3]","brief, unambiguous, usable as a checklist",true,Exceeds Expectations,"1 to 2 pages in docs/shipped.md; brief, unambiguous, and usable as a checklist the team and partner can track against.",10,Meets Expectations,"Mostly clear but wordy, ambiguous in places, or not structured for tracking.",8,Does Not Meet Expectations,Hard to use as an agreement or checklist.,2
