Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Term Retrospective,"Themes: genuine patterns, not a status list [SO5]","2 or 3 genuine patterns with plausible causes, synthesized from the 4Ls rather than a status list",true,Exceeds Expectations,"Two or three patterns that explain the term, each with a plausible cause grounded in how the team works (communication, decision-making, workload, review habits), distilled from the 4Ls session rather than transcribed from it.",25,Meets Expectations,"Patterns are named, but at least one is a single event rather than a pattern, or a cause is asserted without grounding.",20,Does Not Meet Expectations,"A list of what happened during the term, with no synthesis into patterns.",5
Term Retrospective,Evidence: artifacts with captions [SO3],each theme backed by at least one relevant artifact with a caption saying what it shows,true,Exceeds Expectations,"Every theme carries at least one artifact (a pull request, a board snapshot, a legible decision thread) with a caption saying what it shows. Private links include a snippet graders can read.",20,Meets Expectations,"Most themes carry an artifact, or a caption states what the artifact is rather than what it shows.",16,Does Not Meet Expectations,"Themes are asserted with no artifacts, or the artifacts cannot be opened by a grader.",4
Term Retrospective,"Team actions: owned, time-bound, traceable [SO2]","three, each owned, time-bound, with a recognition cue, and traceable to a theme",true,Exceeds Expectations,"Three actions, each with a single named owner, a timeframe, a plain-language recognition cue for how the team will know it is working, and a visible trace back to one of the themes.",20,Meets Expectations,"Three actions, but an owner is ""the team"", a timeframe is missing, or a recognition cue is not something anyone could observe.",16,Does Not Meet Expectations,"Fewer than three actions, or actions with no owner, no timing, and no connection to a theme.",4
Term Retrospective,"Individual pages: wins, gaps, one checkable commitment [SO3]","wins and gaps tied to concrete examples, plus one checkable commitment, per student",true,Exceeds Expectations,"Every student has a labelled page with one or two wins and one or two gaps, each tied to a concrete example (a pull request, a review, a decision they drove or dodged), plus one winter commitment that is realistic and checkable.",25,Meets Expectations,"Pages are present for every student, but a win or gap is generic, or a commitment states an intention nobody could check.",20,Does Not Meet Expectations,"A student's page is missing, or the page is general reflection with no examples and no commitment. Scored per student, so this costs that student rather than the team.",5
Term Retrospective,"Writing: length, sections, claims tied to examples [SO3]","within 2 pages of team content, headed by section, and no claim without a named example",true,Exceeds Expectations,"Within 2 pages of team content, sectioned by heading, and every claim names the example it rests on.",10,Meets Expectations,"Slightly over length, or a claim or two stands without a named example.",8,Does Not Meet Expectations,"Well over length, unsectioned, or largely unsupported assertion.",2
