Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Incident Postmortem,"Impact and timeline: statement, sequence, missed signals [SO3]",,true,Exceeds Expectations,"States what happened, when, and who or what was affected; sequences events, decisions, and signals with the times the record has; names at least one missed signal or says there was none.",25,Meets Expectations,One of the three missing.,20,Does Not Meet Expectations,Two or more of the three missing.,5
Incident Postmortem,"Root cause analysis: systemic, past first answers [SO6]","reaches systemic causes, not first answers or scapegoats",true,Exceeds Expectations,"Analysis reaches systemic causes past the first answer (five-whys or contributing-factors style), and includes what made detection slow, if it was.",25,Meets Expectations,"Analysis goes one level deep but stops early, misses contributing factors, or does not examine detection.",20,Does Not Meet Expectations,Analysis stops at the first answer or lands on a scapegoat.,5
Incident Postmortem,Blameless throughout [SO4],"systems language, co-signable by everyone involved",true,Exceeds Expectations,"Systems language throughout; the unit of analysis is the process, not the person; every person involved could happily co-sign the document.",15,Meets Expectations,"Mostly blameless, with occasional slips into person-focused framing.",12,Does Not Meet Expectations,"Blames individuals, or is written so that people involved could not co-sign it.",3
Incident Postmortem,"Corrective actions: specific, owned, dated, verifiable [SO2]","specific, owned, dated, and at least one verifiable at the week-10 checkpoint or sprint note",true,Exceeds Expectations,"3 to 5 specific changes, each with an owner and a date, distinguishing ""prevent recurrence"" from ""detect faster""; at least one is verifiable at the week-10 repo checkpoint or in the week-10 sprint note. AI involvement in the incident or recovery is addressed plainly if applicable.",25,Meets Expectations,"Actions are listed but some lack owners or dates, the prevent/detect distinction is missing, or none is verifiable at the week-10 checkpoint or sprint note.",20,Does Not Meet Expectations,"Actions are missing, generic (""be more careful""), or unowned.",5
Incident Postmortem,"Writing: length, sections, causes tied to events [SO3]",,true,Exceeds Expectations,2 to 3 pages in docs/postmortems/; the required sections present and in order; every stated cause or fix is tied to an event in the timeline.,10,Meets Expectations,One of the three missing.,8,Does Not Meet Expectations,Two or more of the three missing.,2
