Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Landing Page,Value proposition [SO3],,true,Exceeds Expectations,"One sentence says what the project is and for whom, the problem is stated in the user's terms, and no course vocabulary (capstone, team, partner, sprint, rubric) appears on the page.",30,Meets Expectations,"The description is understandable but generic, the problem is stated in the team's terms rather than the user's, or course vocabulary appears on the page.",24,Does Not Meet Expectations,A visitor cannot tell what the project is or who it is for.,6
Landing Page,Highlights and access [SO2],"3 to 5 audience-perspective highlights, at least one real visual of the project in action, and a working call to action",true,Exceeds Expectations,"Three to five highlights written from the audience's perspective, at least one real visual of the project actually running, and a call to action that works.",35,Meets Expectations,"Highlights are present but feature-listy rather than audience-facing, the visual is a mockup or placeholder, or the call to action is unclear.",28,Does Not Meet Expectations,"No highlights, no real visual of the project, or no way to access it.",7
Landing Page,Credits and contact [SO4],"everyone credited, past contributors acknowledged where applicable, feedback channel present",true,Exceeds Expectations,"Every team member credited, past contributors acknowledged where applicable, and a working feedback or contact channel.",15,Meets Expectations,"Credits present but incomplete, or a contact channel is named without being usable.",12,Does Not Meet Expectations,Credits or contact missing.,3
Landing Page,Polish and accessibility [SO3],"intentional visual hierarchy, alt text, sufficient contrast, descriptive link text, no broken anything",true,Exceeds Expectations,"Intentional visual hierarchy, alt text on every meaningful image, sufficient color contrast, descriptive link text, and nothing broken.",20,Meets Expectations,"The page is presentable but has accessibility gaps: missing alt text, low contrast, or ""click here"" link text.",16,Does Not Meet Expectations,"Visibly unfinished, or accessibility problems that block use.",4
