Value proposition [SO3]		true	30	Exceeds Expectations	One sentence says what the project is and for whom, the problem is stated in the user's terms, and no course vocabulary (capstone, team, partner, sprint, rubric) appears on the page.	24	Meets Expectations	The description is understandable but generic, the problem is stated in the team's terms rather than the user's, or course vocabulary appears on the page.	6	Does Not Meet Expectations	A visitor cannot tell what the project is or who it is for.
Highlights and access [SO2]		true	35	Exceeds Expectations	Three to five highlights written from the audience's perspective, at least one real visual of the project actually running, and a call to action that works.	28	Meets Expectations	Highlights are present but feature-listy rather than audience-facing, the visual is a mockup or placeholder, or the call to action is unclear.	7	Does Not Meet Expectations	No highlights, no real visual of the project, or no way to access it.
Credits and contact [SO4]		true	15	Exceeds Expectations	Every team member credited, past contributors acknowledged where applicable, and a working feedback or contact channel.	12	Meets Expectations	Credits present but incomplete, or a contact channel is named without being usable.	3	Does Not Meet Expectations	Credits or contact missing.
Polish and accessibility [L08]		true	20	Exceeds Expectations	Intentional visual hierarchy, alt text on every meaningful image, sufficient color contrast, descriptive link text, and nothing broken.	16	Meets Expectations	The page is presentable but has accessibility gaps: missing alt text, low contrast, or "click here" link text.	4	Does Not Meet Expectations	Visibly unfinished, or accessibility problems that block use.
