Living docs current and consistent with the code [SO2]		true	25	Exceeds Expectations	The living docs (docs/requirements.md, docs/design.md, docs/rfcs/ or docs/adr/, docs/risks.md, README.md, CONTRIBUTING.md plus the AI context file (AGENTS.md or CLAUDE.md)) exist and pass the spot-check: docs/design.md describes the system that exists, requirements carry acceptance criteria for current priorities, and the quickstart is honest.	20	Meets Expectations	The docs exist but one or more have drifted from the code, are missing sections, or read as written for the grader rather than for the team.	5	Does Not Meet Expectations	Living docs are largely missing, stale, or inconsistent with the repository.
Term gate met [SO2]		true	25	Exceeds Expectations	The gate for this checkpoint is clearly met: fall week 5, rails stood up (repo, CI, board, living docs exist and are real) and the week 10 production target recorded in docs/design.md and agreed with the partner; fall week 10, "hello, production" walking skeleton plus Definition of Shipped v0 draft; winter week 5, integration health with a real-user session scheduled; winter week 10, release candidate installable or deployable by a stranger plus evidence of at least one real-user session.	20	Meets Expectations	The gate is mostly met but one element is incomplete (in fall week 5, a production target that is recorded but not agreed with the partner lands here) or only demonstrable with help (e.g., skeleton deploys but not to a production-like environment, or the real-user evidence is thin).	5	Does Not Meet Expectations	The gate is not met and there is no credible, documented plan to close the gap.
Build health and safety net: CI, tests, quickstart, gates [SO6]		true	20	Exceeds Expectations	CI is green and meaningful; at least one test would fail if the feature it covers broke; a grader can follow the quickstart cold. The safety net matches how much the team delegates: review gates on the changes that are expensive to undo (schema, authentication, deployment, migrations), a staging or preview environment, and a documented rollback path.	16	Meets Expectations	CI and tests exist and the quickstart mostly works, but the net has visible gaps relative to how the team works: no gate on a hard-to-undo path, or no rollback story.	4	Does Not Meet Expectations	CI is absent or red, tests do not test anything real, the quickstart does not work, or changes reach production with no gate and no rollback path.
Decision and risk hygiene [SO1]		true	15	Exceeds Expectations	RFCs and ADRs are recorded with outcomes; the single risk register (docs/risks.md) is alive, ranked, and has owners; no duplicate registers elsewhere.	12	Meets Expectations	Decisions and risks are tracked but incompletely: some decisions unrecorded, ranking or owners missing, or the register has not moved since the last checkpoint.	3	Does Not Meet Expectations	No recorded decisions, or no usable risk register.
Contribution traceability and git hygiene [SO5]		true	15	Exceeds Expectations	Reviewed PRs per student are visible over the period; every student meets the PR-per-sprint norm agreed in the Team Charter, or deviations are explained. History is clean: nothing lands on the default branch outside a pull request, no secrets or build artifacts are committed, and commit messages say what changed.	12	Meets Expectations	Most students' reviewed PRs are traceable, but some gaps or unexplained deviations exist, or the history has hygiene problems (direct commits to the default branch, uninformative messages, committed artifacts).	3	Does Not Meet Expectations	Contribution cannot be traced to individuals over the period, or a secret was committed and never rotated.
