Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Repo Checkpoint,Living docs current and consistent with the code [SO2],,true,Exceeds Expectations,"The living docs (docs/requirements.md, docs/design.md, docs/rfcs/ or docs/adr/, docs/risks.md, README.md, CONTRIBUTING.md plus the AI context file (AGENTS.md or CLAUDE.md)) exist, are in the PDF matching the named commit, and pass the spot-check: docs/design.md describes the system that exists, requirements carry acceptance criteria for current priorities, and the quickstart is accurate.",25,Meets Expectations,"The docs exist but one or more have drifted from the code, are missing sections or missing from the PDF (unless an NDA walkthrough stands in), are not rendered, or read as written for the grader rather than for the team.",20,Does Not Meet Expectations,"Living docs are largely missing, stale, or inconsistent with the repository, the PDF carries none of them without an NDA walkthrough standing in, or the living docs in the PDF do not match the named commit (a sanitized PDF differs only in what was redacted).",5
Repo Checkpoint,Term gate met [SO2],,true,Exceeds Expectations,"The gate for this checkpoint is clearly met: fall week 5, rails stood up (repo, CI, board, living docs exist and are real) and the week 10 production target recorded in docs/design.md and agreed with the partner, with the approval it needs in docs/risks.md; fall week 10, ""hello, production"" walking skeleton plus Definition of Shipped v0 draft; winter week 5, integration health with a real-user session scheduled; winter week 10, release candidate installable or deployable by a stranger plus evidence of at least one real-user session.",25,Meets Expectations,"The gate is mostly met but one element is incomplete (in fall week 5, a production target that is recorded but not agreed with the partner, or whose approval is missing from docs/risks.md, lands here) or only demonstrable with help (e.g., skeleton deploys but not to a production-like environment, or the real-user evidence is thin).",20,Does Not Meet Expectations,"The gate is not met and there is no credible, documented plan to close the gap.",5
Repo Checkpoint,"Build health and safety net: CI, tests, quickstart, gates [SO6]","CI green, tests exist and test something real, quickstart works, and the checks match how much the team delegates (review gates on the paths that are hard to undo, a staging or preview environment, a documented rollback path)",true,Exceeds Expectations,"CI is green and meaningful; at least one test would fail if the feature it covers broke; a grader can follow the quickstart cold. The checks match how much the team delegates: review gates on the changes that are expensive to undo (schema, authentication, deployment, migrations), a staging or preview environment, and a documented rollback path.",20,Meets Expectations,"CI and tests exist and the quickstart mostly works, but the checks have visible gaps relative to how the team works: no gate on a hard-to-undo path, or no rollback story.",16,Does Not Meet Expectations,"CI is absent or red, tests do not test anything real, the quickstart does not work, or changes reach production with no gate and no rollback path.",4
Repo Checkpoint,Decision and risk hygiene [SO1],"RFCs/ADRs recorded, single risk register alive and ranked",true,Exceeds Expectations,"RFCs and ADRs are recorded with outcomes; the single risk register (docs/risks.md) is alive, ranked, and has owners; no duplicate registers elsewhere.",15,Meets Expectations,"Decisions and risks are tracked but incompletely: some decisions unrecorded, ranking or owners missing, or the register has not moved since the last checkpoint.",12,Does Not Meet Expectations,"No recorded decisions, or no usable risk register.",3
Repo Checkpoint,Contribution traceability and git hygiene [SO5],"work is attributable per student (code through PRs authored and reviewed under real accounts, other work where CONTRIBUTING.md says it lives, contribution lines in sprint notes matching the record), and the history is one a maintainer could inherit",true,Exceeds Expectations,"Each student's work is attributable over the period: code through reviewed PRs under real accounts, other work where the Contribution Norm in CONTRIBUTING.md says it lives, and the contribution lines match that record. History is clean: nothing lands on the default branch outside a pull request, no secrets or build artifacts are committed, and commit messages say what changed.",15,Meets Expectations,"Most students' work is traceable, but some of it cannot be attributed, or the history has hygiene problems (direct commits to the default branch, uninformative messages, committed artifacts).",12,Does Not Meet Expectations,"Contribution cannot be traced to individuals over the period, or a secret was committed and never rotated.",3
