Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Team Charter,Roles [SO5],,true,Exceeds Expectations,"All three concerns owned by a named person, with a published rotation schedule, a clear decision process, and what each owner owes the team.",20,Meets Expectations,"Owners are named, but a concern is unowned, or rotation, the decision process, or what each owner owes is vague.",16,Does Not Meet Expectations,"No named roles, or no decision process.",4
Team Charter,Conflict and inclusion [SO5],,true,Exceeds Expectations,"A restorative stepwise path with measurable triggers, evidence-based accountability, and concrete inclusion norms.",15,Meets Expectations,"A conflict path exists, but triggers are not measurable or inclusion norms are aspirational rather than concrete.",12,Does Not Meet Expectations,No usable conflict path.,3
Team Charter,Cadence and tools [SO3],,true,Exceeds Expectations,"Meetings, channels, and where decisions are recorded, all unambiguous.",10,Meets Expectations,"Stated, but ambiguous about which channel is used for what, or where decisions live.",8,Does Not Meet Expectations,Missing or unusable.,2
Team Charter,Definition of Done [SO2],,true,Exceeds Expectations,"In CONTRIBUTING.md: specific checks, each tied to the CI gate, hook, or test that enforces it; a gate not built yet is named with the sprint it lands in and its owner.",15,Meets Expectations,"A Definition of Done exists but is generic or kept outside CONTRIBUTING.md, or names gates the repository does not have, missing the sprint or the owner for them.",12,Does Not Meet Expectations,"Missing, or a restatement of ""it works"".",3
Team Charter,CONTRIBUTING.md and AI context file [SO3],,true,Exceeds Expectations,"Both published, complete, and followable, including the contribution norm and review expectations; any part of the AI context file that cannot be written before there is code is listed with an owner.",15,Meets Expectations,"Both exist, but one is thin, omits the contribution norm or review expectations, or leaves gaps in the AI context file with no owner.",12,Does Not Meet Expectations,Either file is missing or unusable.,3
Team Charter,AI and confidentiality [SO4],,true,Exceeds Expectations,"Explicit about which data and code may enter which tools, and consistent with the partner agreement.",15,Meets Expectations,"Present, but leaves the boundary ambiguous or is not clearly reconciled with the partner agreement.",12,Does Not Meet Expectations,"Missing, or written so that it would permit a confidentiality breach.",3
Team Charter,"Writing: length, sections, quotable commitments [SO3]",,true,Exceeds Expectations,2 to 4 pages; headed by the required sections; every commitment is a single sentence a teammate could quote back.,10,Meets Expectations,"One of the three missing: outside the length, a section missing, or commitments buried in paragraphs.",8,Does Not Meet Expectations,Two or more of the three missing.,2
