Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Peer Evaluation,Quantity,"Your teammates' average rating of whether you did an appropriate quantity of work, self-ratings excluded. An average between two ratings scores between their points.",true,Average of 5,Outstanding: a super asset to the team.,20,Average of 4,Good solid effort; took initiative.,17.5,Average of 3,"OK, but nothing special.",15,Average of 2,Some obvious shortcomings.,12.5,Average of 1,"Better off without the member, in this regard.",10
Peer Evaluation,Quality,"Your teammates' average rating of the quality of your work, self-ratings excluded. An average between two ratings scores between their points.",true,Average of 5,Outstanding: a super asset to the team.,20,Average of 4,Good solid effort; took initiative.,17.5,Average of 3,"OK, but nothing special.",15,Average of 2,Some obvious shortcomings.,12.5,Average of 1,"Better off without the member, in this regard.",10
Peer Evaluation,Attitude as a team player [SO5],"Your teammates' average rating of your attitude as a team player (eager to do assigned work, communicated with others, kept appointments), self-ratings excluded. An average between two ratings scores between their points.",true,Average of 5,Outstanding: a super asset to the team.,20,Average of 4,Good solid effort; took initiative.,17.5,Average of 3,"OK, but nothing special.",15,Average of 2,Some obvious shortcomings.,12.5,Average of 1,"Better off without the member, in this regard.",10
Peer Evaluation,Technical value,"Your teammates' average rating of the overall value of your technical contribution, self-ratings excluded. An average between two ratings scores between their points.",true,Average of 5,Outstanding: a super asset to the team.,20,Average of 4,Good solid effort; took initiative.,17.5,Average of 3,"OK, but nothing special.",15,Average of 2,Some obvious shortcomings.,12.5,Average of 1,"Better off without the member, in this regard.",10
Peer Evaluation,Point distribution [SO5],"The average share of the 100 points your teammates gave you, self-allocation excluded, normalized for team size (times N, divided by 5).",true,Equal share or more,"A normalized average of 20 earns the 20 points, rising to 23 at 40 or more. The points above 20 are added to the posted grade, which can exceed 100.",20,Less than an equal share,"Below a normalized average of 20 the points fall toward 17, reached at 10 or less.",17
