Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Project Retrospective,Arc and pivots [SO3],,true,Exceeds Expectations,"Each term's milestones are dated and linked to their artifacts (a tag, a PR, a checkpoint), and each pivot names what was decided, when, and the evidence that prompted it.",20,Meets Expectations,"The milestones are there but some are undated or unlinked, or a pivot is mentioned without the decision, the date, or the evidence behind it.",16,Does Not Meet Expectations,"No cross-year arc, or an account not recognizable as this project's year.",4
Project Retrospective,Delivered versus shipped [SO2],"specific, numbers-consistent comparison against the Definition of Shipped, gap explained",true,Exceeds Expectations,"A specific comparison against the Definition of Shipped whose numbers reconcile with the release report, with any gap named and explained.",20,Meets Expectations,"The comparison is present but vague, or its numbers do not reconcile with other submitted evidence.",16,Does Not Meet Expectations,No comparison against the Definition of Shipped.,4
Project Retrospective,Decisions and consequences [SO6],,true,Exceeds Expectations,"Three to five decisions traced from RFC through to outcome, candid about the debt incurred, including at least one that did not pan out.",25,Meets Expectations,"Decisions are traced but consequences are asserted rather than evidenced, or every decision is presented as a success.",20,Does Not Meet Expectations,"Fewer than three decisions traced, or no link drawn between decision and outcome.",5
Project Retrospective,Team dynamics [SO5],,true,Exceeds Expectations,"Role evolution, communication patterns, and conflict discussed critically and candidly, tied to specific examples.",15,Meets Expectations,"Team dynamics are covered but generically, or without examples.",12,Does Not Meet Expectations,"Absent, or limited to ""we worked well together"".",3
Project Retrospective,"Forward-looking section: understand first, live risks, first actions [SO2]",,true,Exceeds Expectations,Names what a successor must understand first; links the live risks in docs/risks.md; lists the first three actions to take.,10,Meets Expectations,One of the three missing.,8,Does Not Meet Expectations,Two or more of the three missing.,2
Project Retrospective,Writing and evidence [SO3],,true,Exceeds Expectations,"Structured, within the length limit, with at least two captioned artifacts.",10,Meets Expectations,"Readable but over length, loosely structured, or short on artifacts.",8,Does Not Meet Expectations,"Hard to follow, or no artifacts.",2
