Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Project Partner Evaluation (Spring),Reflection,Whether the team learns from each sprint and shows it.,true,Top anchor (100),"The team explains, with named examples, what worked, what did not, and what it would do differently, and the handoff reflects it.",15,Middle anchor (80),General lessons with few specifics; the handoff does not show them.,12,Low anchor (50),No lessons the team can articulate.,7.5
Project Partner Evaluation (Spring),Requirements and Specifications,"Whether the team knows what it is building, in terms the partner agreed to.",true,Top anchor (100),"Requirements are complete, prioritized, and current; what shipped matches them, or the difference was negotiated with the partner.",5,Middle anchor (80),Requirements are mostly documented; there is drift between the document and what shipped.,4,Low anchor (50),Requirements are missing or stale; the delivered work does not map to them.,2.5
Project Partner Evaluation (Spring),"Design, Implementation, and Deployment","Whether working software exists, advances, and can be run by someone other than the team.",true,Top anchor (100),"Deployed where it needs to run, documented for its successor, used by the partner or their users, and no gap the partner raised remains open.",20,Middle anchor (80),"Deployed and functional, with gaps the team has named and not yet closed.",16,Low anchor (50),"Not deployed, or deployed but unusable without the team present.",10
Project Partner Evaluation (Spring),Verification and Validation,"Who ran the software, on one ladder for every project. The Definition of Shipped says what the target rung means for this project, or records a custom scale of 50 to 100 that replaces the ladder.",true,People outside the team depend on it (100),Consultancy: the partner runs it in operations. FOSS: patches shipped in an upstream release. Research: a stranger reproduced the result from the published artifact. New Product or Game: sustained use by strangers (tens of heavy or hundreds of light users).,40,Someone outside the team runs it in their own environment (90),Consultancy: the partner is integrating it into production. FOSS: patches merged. Research: a person outside the team reran the pipeline on real data and got the numbers. New Product or Game: two dozen strangers used it.,36,An outsider ran it and the team acted on what they found (80),"Consultancy: the partner's feedback on a prototype addressed in a newer version. FOSS: a pull request reviewed and revised. Research: the partner's group ran it on real data and the issues were fixed. New Product or Game: a dozen strangers, or a completed user study.",32,An outsider ran it once (70),Consultancy: the partner tried a prototype. FOSS: a pull request submitted. Research: a real-data run shown to the partner. New Product or Game: friends tried a deployed build.,28,The partner watched it run on their real inputs (60),"A live demo or a recording, but nobody outside the team has operated it.",24,Nobody outside the team has run it (50),,20
Project Partner Evaluation (Spring),Teamwork,Whether the team works as one unit in front of the partner.,true,Top anchor (100),Whole team present and prepared; anyone can speak to the project; disagreements are resolved and reported to the partner; work is visibly spread across members.,10,Middle anchor (80),Mostly present; one or two members carry the meetings; disagreements show in a meeting and are settled by the next one.,8,Low anchor (50),Members missing without notice; one person does the talking and the work; conflict visible and unmanaged.,5
Project Partner Evaluation (Spring),Communication,Whether the partner always knows where the project stands without asking.,true,Top anchor (100),"Agenda before, every voice during, notes after, working demos, and updates on cadence, every time.",10,Middle anchor (80),Meetings are prepared and followed up most of the time; one or two students rarely speak; the partner occasionally has to chase an update.,8,Low anchor (50),Meetings without an agenda or notes; the same one or two people speak; the partner chases for updates; demos are slides.,5
