Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
RFC Draft,Draft complete,"every required section present, within the term's length band",true,Exceeds Expectations,"All six required sections are present and in order, each with real content, and the draft is within the term's length band.",30,Meets Expectations,"One section is missing or a placeholder, or the draft is outside the length band.",24,Does Not Meet Expectations,Two or more sections are missing or placeholders; the submission is an outline rather than a draft.,6
RFC Draft,Reviews submitted,"both assigned reviews, each answering the four questions",true,Exceeds Expectations,"Both assigned reviews are submitted by the peer review deadline, and each answers all four questions.",30,Meets Expectations,"Both reviews are submitted, but one leaves a question unanswered.",24,Does Not Meet Expectations,"One review is missing, or both leave several questions unanswered.",6
RFC Draft,Review quality [SO3],critique the author can act on,true,Exceeds Expectations,"Each review is specific to its draft: it points at the passage it critiques, names a missing option, a verification gap, or an understated stake, and ends with the single strongest improvement the author can make.",40,Meets Expectations,Each review has at least one point specific to its draft; the rest would apply to any RFC.,32,Does Not Meet Expectations,Generic praise or a restatement of the draft; nothing the author could act on.,8
