Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
RFC Final,Problem framing and context [SO1],a newcomer understands the decision and the stakes,true,Exceeds Expectations,"States what decision is needed, why now, and what happens if the team does nothing; the decision is real and current for the team (still open in fall; in winter, open or already being acted on, with the RFC still changing how it is verified, reversed, or continued); a newcomer to the project would understand the decision and its stakes without extra context.",15,Meets Expectations,"Problem and context are present but the stakes, the urgency (""why now""), or the cost of doing nothing are underspecified; a newcomer would need additional context to follow.",12,Does Not Meet Expectations,"Problem framing is missing or generic, the RFC is a hypothetical or justifies a decision it no longer changes, or the stakes are unclear.",3
RFC Final,"Options: three or more credible, including ""do nothing"" [SO1]","three or more credible options including ""do nothing"", with the real costs",true,Exceeds Expectations,"At least three credible options including ""do nothing"", each presented with its real costs and consequences; no strawman options.",10,Meets Expectations,"Options are listed but fewer than three are credible, ""do nothing"" is missing or dismissed without analysis, or costs are stated unevenly across options.",8,Does Not Meet Expectations,"Only one real option is considered, or the alternatives are strawmen with no real costs stated.",2
RFC Final,"Technical tradeoff analysis [SO6, L07]",,true,Exceeds Expectations,"The tradeoffs that matter (performance, complexity, maintainability, security, cost) are argued from cited sources and evidence specific to this project, and uncertainty is acknowledged where it exists.",15,Meets Expectations,"Analysis is present but partly generic or assertion-based; some relevant tradeoffs are unexamined, evidence is thin, or uncertainty is not acknowledged.",12,Does Not Meet Expectations,"Analysis is missing, not project-specific, or argued with vibes instead of evidence.",3
RFC Final,Recommendation and verification plan [SO2],Recommendation with a concrete verification plan,true,Exceeds Expectations,"A clear recommendation plus a concrete verification plan (tests, metrics, acceptance criteria) that would actually detect failure; the team could act on it as written.",15,Meets Expectations,"Recommendation is clear but the verification plan is partial, vague, or would not clearly detect failure.",12,Does Not Meet Expectations,"No clear recommendation, or no verification plan.",3
RFC Final,"Constraints: licensing, data use, IP, confidentiality [SO4]","licensing, data use, IP, confidentiality boundary addressed",true,Exceeds Expectations,"Licensing, data use, IP, and the partner confidentiality boundary are each addressed as they bear on this decision (or explicitly noted as not applicable, with reasoning).",10,Meets Expectations,Constraints are mentioned but one or more relevant areas are missing or treated superficially.,8,Does Not Meet Expectations,Constraints are not addressed.,2
RFC Final,Delegation and validation [SO4],"what you handed to AI tools, the checks that made that reasonable, and the points where you validated yourself",true,Exceeds Expectations,"States what was handed to AI tools on this decision, the checks that made that reasonable (tests, CI, review gates, staging, a rollback path), and the specific points where the author validated the result themselves, with a defensible reason for choosing those points. Credible and specific to this project.",10,Meets Expectations,"Delegation and validation are described, but the checks are vague or the validation points are asserted without reasons.",8,Does Not Meet Expectations,"Not addressed, or describes delegating a hard-to-reverse decision with no checks and no validation.",2
RFC Final,"Writing: length, sections, sourced claims [SO3, L08]",,true,Exceeds Expectations,"Within the term's length band (800 to 1,500 words in fall, 1,500 to 2,500 in winter); the required sections present and in order; every claim about the system names a file, a pull request, or a measurement.",10,Meets Expectations,"One of the three missing: outside the band, a section missing or out of order, or claims without a named source.",8,Does Not Meet Expectations,Two or more of the three missing.,2
RFC Final,"Revision: substantive response to feedback [SO3, L09]","substantive response to feedback, with a response note",true,Exceeds Expectations,"The revision substantively engages the feedback received; the response-to-feedback note explains what changed, what was declined and why; the team's decision (accepted, rejected, superseded) is recorded.",15,Meets Expectations,"A revision and response note exist but engagement with feedback is partial, or the recorded decision status is unclear.",12,Does Not Meet Expectations,No meaningful revision or no response note. Non-submission of the draft forfeits these points (there is nothing to revise).,3
