Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Project Handoff,Overview and status [SO3],"a newcomer is oriented in half a page, exclusions and contacts explicit",true,Exceeds Expectations,"A newcomer is oriented in half a page: what the system does, what state it is in, what is explicitly out of scope, and who to contact. No course jargon.",15,Meets Expectations,"The overview orients a reader, but exclusions or contacts are vague, or it takes considerably longer than half a page to get the picture.",12,Does Not Meet Expectations,"No usable overview, or a reader cannot tell what the system does or what state it is in.",3
Project Handoff,"Setup: complete, copy-pasteable, verified by a fresh run [SO2]","complete, copy-pasteable, and actually verified by a fresh run",true,Exceeds Expectations,"Setup instructions are complete and copy-pasteable, and the team verified them from a clean environment. A grader following them cold reaches a running system.",30,Meets Expectations,"Setup is mostly right but has gaps: an undocumented prerequisite, a step that fails without a stated workaround, or no evidence of a fresh-run verification.",24,Does Not Meet Expectations,Setup cannot be followed to a running system.,6
Project Handoff,Known issues and future work [SO6],"prioritized, severities and credential transfer covered, candid tone",true,Exceeds Expectations,"Known issues are prioritized with severities, credential and account transfer is covered, and the tone is candid rather than promotional.",20,Meets Expectations,"Issues and future work are listed but unprioritized, missing severities, or silent on credential transfer.",16,Does Not Meet Expectations,"No known-issues section, or it omits problems the team is aware of.",4
Project Handoff,Living docs linked and current [SO1],"all four linked and current, decision record reachable",true,Exceeds Expectations,"All four living docs are linked and current, and the decision record is reachable from the handoff.",10,Meets Expectations,"Docs are linked but one is stale, or the decision record is hard to find.",8,Does Not Meet Expectations,"Living docs are missing, unlinked, or clearly out of date.",2
Project Handoff,"Checklist, partner confirmation, and release consent [SO4]","Checklist, written partner confirmation, and release-consent declaration all complete",true,Exceeds Expectations,"Handoff checklist complete, written partner confirmation attached, and the release-consent declaration lists every team member, with any NDA or partner restriction noted.",25,Meets Expectations,"Checklist and confirmation present, but one element is incomplete: a missing confirmation, an unnamed member, or an unstated restriction.",20,Does Not Meet Expectations,"No written partner confirmation, or the consent declaration is missing or incomplete.",5
